"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedmph","2m MaxGustmph","2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2021/04/01","1","31.6","50.1","65.7","28.8","45.7","0.00","E","5.0","17.5","NA","45.6","47.6","0.00","16.87","0.13","0.19"
"2021/04/02","2","33.0","51.7","63.6","32.3","49.9","0.00","E","4.7","14.6","NA","47.9","49.7","0.00","16.91","0.12","0.16"
"2021/04/03","3","38.5","51.0","62.3","31.9","49.6","0.00","E","4.7","12.8","NA","27.7","49.4","0.00","14.47","0.12","0.16"
"2021/04/04","4","38.0","49.7","58.5","31.7","51.5","0.00","E","9.3","23.9","NA","-1.2","47.6","0.00","13.32","0.13","0.19"
"2021/04/05","5","33.5","46.4","58.5","22.0","40.5","0.00","NE","6.7","17.1","NA","-15.3","44.6","0.00","22.39","0.15","0.21"
"2021/04/06","6","29.3","47.4","63.6","26.7","47.9","0.03","E","5.8","18.9","NA","NA","NA","0.00","22.10","0.15","0.20"
"2021/04/07","7","32.4","46.5","57.4","31.2","56.7","0.12","E","7.2","17.8","NA","NA","NA","0.00","10.01","0.10","0.15"
"2021/04/08","8","33.5","45.0","54.9","25.5","49.8","0.05","E","11.7","31.1","NA","NA","NA","0.00","22.39","0.15","0.22"
"2021/04/09","9","27.1","44.3","60.8","25.8","52.4","0.16","E","8.9","22.5","NA","NA","NA","0.00","22.45","0.15","0.22"
"2021/04/10","10","31.9","43.2","50.7","20.5","43.8","0.00","E","13.1","41.4","NA","NA","NA","0.00","19.53","0.14","0.21"
"2021/04/11","11","22.8","39.7","53.5","14.6","41.4","0.03","E","4.9","17.1","NA","NA","NA","0.00","23.42","0.12","0.17"
"2021/04/12","12","25.4","43.2","59.2","16.3","37.2","0.00","S","8.1","23.2","NA","NA","NA","0.00","21.37","0.16","0.24"
"2021/04/13","13","38.2","48.4","60.6","15.2","28.2","0.00","S","17.0","34.3","NA","NA","NA","0.00","23.40","0.24","0.37"
"2021/04/14","14","35.7","52.4","68.0","21.1","30.5","0.00","S","13.3","27.1","NA","NA","NA","0.00","23.82","0.24","0.37"
"2021/04/15","15","41.1","57.8","71.0","28.1","34.6","0.00","S","11.0","26.4","NA","NA","NA","0.00","24.09","0.24","0.36"
"2021/04/16","16","39.2","57.8","72.6","24.6","31.6","0.00","S","7.9","22.1","NA","NA","NA","0.00","24.63","0.23","0.33"
"2021/04/17","17","37.7","58.6","76.3","30.0","36.6","0.00","NE","4.4","11.7","NA","NA","NA","0.00","24.53","0.19","0.26"
"2021/04/18","18","41.1","61.3","80.9","32.7","38.4","0.00","E","8.5","28.9","NA","NA","NA","0.00","24.61","0.26","0.39"
"2021/04/19","19","42.4","51.8","61.8","19.6","30.5","0.00","S","12.3","29.6","NA","NA","NA","0.00","25.30","0.23","0.34"
"2021/04/20","20","35.4","52.1","65.9","22.3","33.5","0.00","S","9.0","20.3","NA","NA","NA","0.00","25.11","0.21","0.30"
"2021/04/21","21","32.7","53.5","69.7","26.8","38.4","0.00","E","5.6","15.3","NA","NA","NA","0.00","25.16","0.18","0.26"
"2021/04/22","22","43.5","58.6","72.5","31.9","39.2","0.01","NE","6.4","17.5","NA","NA","NA","0.00","23.48","0.20","0.29"
"2021/04/23","23","35.8","52.6","65.1","26.9","39.6","0.00","E","4.4","16.7","NA","NA","NA","0.00","23.46","0.16","0.21"
"2021/04/24","24","43.7","50.8","56.7","39.7","66.1","0.07","E","6.1","19.2","NA","NA","NA","0.00","9.23","0.09","0.12"
"2021/04/25","25","40.1","50.6","62.4","34.3","58.0","0.27","E","6.6","32.1","NA","NA","NA","0.00","19.61","0.15","0.20"
"2021/04/26","26","33.9","51.1","65.2","33.6","56.2","0.28","NE","5.7","16.0","NA","NA","NA","0.00","26.01","0.16","0.21"
"2021/04/27","27","37.0","53.0","64.7","35.3","52.9","0.03","E","7.5","20.7","NA","NA","NA","0.00","24.93","0.17","0.22"
"2021/04/28","28","42.3","58.8","71.0","36.9","45.6","0.06","E","5.4","16.0","NA","NA","NA","0.00","24.24","0.18","0.24"
"2021/04/29","29","48.3","64.0","79.8","40.9","45.8","0.07","E","4.7","14.2","NA","NA","NA","0.00","23.09","0.20","0.27"
