"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedmph","2m MaxGustmph","2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2021/04/01","1","34.6","53.7","72.4","23.7","36.2","0.00","W","4.8","22.5","NA","49.0","51.1","0.00","17.16","0.16","0.24"
"2021/04/02","2","37.4","55.0","69.3","27.9","37.4","0.00","N","3.8","20.7","NA","51.3","53.3","0.00","19.29","0.14","0.20"
"2021/04/03","3","40.3","53.2","65.0","30.8","43.5","0.00","N","3.7","11.7","NA","52.6","54.0","0.00","13.25","0.11","0.16"
"2021/04/04","4","39.5","51.8","63.2","29.3","44.1","0.00","N","5.6","20.7","NA","52.6","54.1","0.00","11.85","0.13","0.19"
"2021/04/05","5","33.4","48.0","60.6","20.0","36.3","0.00","NW","5.1","18.9","NA","51.7","53.7","0.00","22.56","0.14","0.20"
"2021/04/06","6","33.0","50.2","66.8","25.4","40.6","0.00","W","4.5","15.3","NA","51.4","53.6","0.00","22.30","0.15","0.21"
"2021/04/07","7","35.8","49.9","61.7","28.6","46.2","0.00","N","6.6","27.8","NA","52.3","53.7","0.00","9.80","0.12","0.19"
"2021/04/08","8","35.6","48.6","57.6","21.8","38.1","0.00","W","7.3","27.8","NA","52.1","53.9","0.00","22.99","0.15","0.22"
"2021/04/09","9","30.0","48.1","65.2","22.7","41.9","0.01","N","6.7","27.8","NA","51.2","53.3","0.00","22.78","0.17","0.25"
"2021/04/10","10","36.3","48.3","54.7","19.3","34.1","0.00","NW","10.7","33.2","NA","53.1","54.5","0.00","21.15","0.16","0.25"
"2021/04/11","11","25.4","41.2","55.0","15.1","38.9","0.00","W","3.9","13.5","NA","50.9","53.2","0.00","23.40","0.12","0.16"
"2021/04/12","12","27.2","46.0","60.6","14.7","32.2","0.00","NE","6.0","27.8","NA","50.5","52.8","0.00","23.13","0.16","0.23"
"2021/04/13","13","43.4","53.3","62.3","12.2","19.9","0.00","NE","11.1","29.6","NA","52.3","53.9","0.00","23.21","0.23","0.35"
"2021/04/14","14","41.4","56.3","68.5","19.3","23.8","0.00","NE","7.9","27.8","NA","53.0","54.9","0.00","23.68","0.22","0.32"
"2021/04/15","15","45.4","60.4","72.9","27.2","29.6","0.00","NE","6.1","20.7","NA","54.3","56.4","0.00","24.07","0.21","0.30"
"2021/04/16","16","39.4","58.3","74.0","23.4","31.3","0.00","NE","5.3","24.3","NA","55.4","57.7","0.00","24.63","0.20","0.29"
"2021/04/17","17","38.9","59.1","77.5","25.2","30.7","0.00","NE","4.3","17.1","NA","56.2","58.7","0.00","24.62","0.20","0.28"
"2021/04/18","18","41.5","64.3","83.8","26.8","28.1","0.00","W","5.3","17.1","NA","57.7","60.4","0.00","24.50","0.24","0.35"
"2021/04/19","19","41.4","54.6","64.4","18.0","26.3","0.00","NE","6.6","29.6","NA","59.7","61.6","0.00","23.64","0.19","0.28"
"2021/04/20","20","33.3","52.2","66.8","20.9","32.4","0.00","NE","5.3","22.5","NA","57.6","60.2","0.00","25.06","0.18","0.25"
"2021/04/21","21","36.7","56.5","72.6","24.9","33.2","0.00","W","4.3","17.1","NA","57.7","60.4","0.00","25.10","0.19","0.26"
"2021/04/22","22","44.9","60.9","74.8","30.0","33.7","0.00","W","4.8","22.5","NA","59.7","62.1","0.00","22.00","0.19","0.27"
"2021/04/23","23","39.1","55.8","66.0","32.0","43.2","0.02","W","4.0","15.3","NA","60.3","62.5","0.00","20.54","0.14","0.19"
"2021/04/24","24","50.9","55.2","62.3","34.7","46.3","0.04","W","5.1","18.9","NA","61.6","62.6","0.00","13.58","0.14","0.19"
"2021/04/25","25","39.2","53.1","65.2","32.5","49.3","0.09","W","3.9","20.7","NA","59.3","61.8","0.00","22.93","0.15","0.19"
"2021/04/26","26","36.9","54.0","67.8","32.3","48.7","0.09","W","5.6","24.3","NA","60.0","62.7","0.00","27.38","0.18","0.24"
"2021/04/27","27","36.3","56.1","71.1","32.8","44.9","0.03","W","4.0","20.7","NA","61.0","63.6","0.00","24.79","0.17","0.22"
"2021/04/28","28","41.9","61.3","76.6","34.7","41.0","0.02","N","3.6","11.7","NA","62.2","64.7","0.00","23.50","0.18","0.24"
"2021/04/29","29","52.7","69.0","84.6","34.8","31.9","0.00","W","3.5","17.1","NA","64.1","66.4","0.00","23.08","0.21","0.28"
