"Station ID","Station Name","Tier","Sponsor","Installation Date","Data Quality Review Date","Latitude","Longitude","Station Elevation (ft)","County","State","Air Temperature Probe","Second (additional) Air Temperature Probe","Relative Humidity Probe","Rainfall Sensor","Second (additional) Rainfall Sensor","Wind Speed Sensor","Wind Direction Sensor","Leaf Wetness Sensor","Pyranometer","Soil Temperature Probe at 2 inch depth","Soil Temperature Probe at 8 inch depth","Soil Moisture Probe at 8 inch depth","Barometric Pressure Sensor","Station Zone"
"100000","Dallesport","Tier 1","Western Ag Improvement","2019-04-04","2019-04-04","45.63","121.13","220","Klickitat","WA","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","1"
"100001","Willis*","Tier 3","Western Ag Improvement","2019-04-04","2019-04-10","45.66","121.51","624","Hood River","OR","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100002","Dog.River*","Tier 3","Western Ag Improvement","2019-04-04","2019-04-10","45.60","121.51","1128.28","Hood River","OR","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100003","Wamic.S*","Tier 3","Western Ag Improvement","2019-04-04","2019-04-10","45.17","121.29","2073","Wasco","OR","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100004","Wamic.N*","Tier 3","Western Ag Improvement","2019-04-04","2019-04-10","45.18","121.29","1964","Wasco","OR","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100005","BearWallow*","Tier 3","Western Ag Improvement","2019-04-04","2019-04-10","45.61","121.56","976","Hood River","OR","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100006","Morgan*","Tier 3","Western Ag Improvement","2019-04-04","2019-04-10","45.55","121.19","1197","Wasco","OR","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100007","Mill.Creek*","Tier 3","Western Ag Improvement","2019-04-04","2019-04-10","45.59","121.23","678","Wasco","OR","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100008","Cemetery*","Tier 3","Western Ag Improvement","2019-04-04","2019-04-10","45.57","121.18","697","Wasco","OR","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100009","Polehn*","Tier 3","Western Ag Improvement","2019-04-12","2019-04-12","45.58","121.19","724","","OR","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100010","Avalon*","Tier 3","Western Ag Improvement","2019-04-12","2019-04-12","45.50","121.58","1726","Hood River","OR","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100011","08CF15*","Tier 3","Ste Michelle Wine Estates","2019-06-03","2019-06-03","46.58","119.80","1091","Yakima","WA","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100012","10SB04*","Tier 3","Ste Michelle Wine Estates","2019-08-01","2019-08-01","45.95","119.61","487.53281","Benton","WA","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","5"
"100014","Brewster.S","Tier 2","WSU AgWeatherNet","2019-10-16","2019-10-16","48.06","119.86","787","Douglas","WA","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","2"
"100015","Havillah","Tier 2","WSU AgWeatherNet","2019-10-16","2019-10-16","48.80","119.26","3447","Okanogan","WA","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","2"
"100016","Ellisforde","Tier 2","WSU AgWeatherNet","2019-10-16","2019-10-16","48.79","119.40","946.52","Okanogan","WA","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","2"
"100017","Crane","Tier 2","WSU AgWeatherNet","2019-10-16","2019-10-16","48.07","119.80","1700","Douglas","WA","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","2"
"100019","Loomis.Grd","Tier 2","WSU AgWeatherNet","2019-10-18","2019-10-18","48.78","119.43","1186","Okanogan","WA","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","2"
"100021","Teske","Tier 2","WSU AgWeatherNet","2019-10-29","2019-10-29","47.05","118.08","1683","Adams","WA","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","N","Y","4"
"100022","Pomeroy.E","Tier 2","WSU AgWeatherNet","2019-11-14","2019-11-14","46.51","117.34","2760","Garfield","WA","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","N","Y","4"
