"Date","Date","Min°C","Avg°C","Max°C","Avg1.5m DP°C","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedm/s","2m MaxGustm/s","5 cm°C","Min°C","Avg°C","TotPrecmm","TotalSolarRadMJ/m²","ETomm","ETrmm"
"2020/04/01","1","-1.1","4.6","9.9","-2.4","62.0","0.01","W","1.8","7.6","NA","8.9","9.8","0.00","13.57","1.93","2.55"
"2020/04/02","2","-3.0","4.6","11.7","-3.7","59.0","0.02","SW","2.0","10.0","NA","8.1","9.5","0.00","19.42","2.47","3.30"
"2020/04/03","3","-2.8","4.7","12.3","-6.1","49.8","0.00","W","2.7","14.0","NA","8.2","9.6","0.00","20.68","3.01","4.23"
"2020/04/04","4","-1.3","5.9","11.9","-5.3","47.6","0.01","NE","2.2","10.8","NA","8.4","9.5","0.00","16.25","2.62","3.64"
"2020/04/05","5","3.3","8.5","14.6","0.4","58.0","0.00","NE","1.7","8.4","NA","9.6","10.6","0.00","16.26","2.61","3.44"
"2020/04/06","6","0.5","9.8","18.8","0.7","57.2","0.00","W","1.7","6.8","NA","9.7","11.2","0.00","21.76","3.29","4.32"
"2020/04/07","7","1.5","11.7","21.6","-4.3","38.1","0.00","W","2.0","7.6","NA","10.6","12.1","0.00","21.93","4.19","5.93"
"2020/04/08","8","2.3","11.9","21.0","-7.1","28.5","0.00","N","2.1","6.8","NA","11.0","12.5","0.00","22.95","4.44","6.34"
"2020/04/09","9","3.0","13.3","23.9","-4.4","32.6","0.00","NW","1.9","6.0","NA","11.6","13.2","0.00","23.12","4.65","6.60"
"2020/04/10","10","4.8","16.1","25.9","-0.5","34.4","0.00","W","2.3","10.0","NA","12.5","14.0","0.00","21.39","5.02","7.23"
"2020/04/11","11","8.3","13.5","17.5","-3.9","34.1","0.00","N","3.2","11.6","NA","13.9","15.1","0.00","23.09","4.83","6.99"
"2020/04/12","12","4.0","9.4","14.4","-9.3","26.7","0.00","E","2.2","9.2","NA","13.4","14.8","0.00","23.58","3.89","5.42"
"2020/04/13","13","-0.6","9.0","16.9","-10.0","28.3","0.00","SW","2.1","7.6","NA","12.6","14.2","0.00","24.47","4.01","5.61"
"2020/04/14","14","2.7","14.1","23.7","-4.8","29.0","0.00","W","2.4","9.2","NA","12.9","14.3","0.00","21.66","5.02","7.30"
"2020/04/15","15","7.6","14.3","18.6","0.0","38.3","0.00","N","3.4","16.4","NA","14.6","15.2","0.00","12.18","4.04","6.04"
"2020/04/16","16","1.4","10.2","17.6","-5.9","36.7","0.00","NE","2.0","8.4","NA","12.9","14.4","0.00","24.86","4.01","5.46"
"2020/04/17","17","1.3","12.9","24.0","-7.6","28.8","0.00","SW","2.7","10.8","NA","13.0","14.6","0.00","25.12","5.63","8.24"
"2020/04/18","18","8.7","14.8","20.9","1.1","41.6","0.00","SE","2.2","7.6","NA","14.2","15.5","0.00","19.67","4.23","5.84"
"2020/04/19","19","6.3","13.9","21.5","3.3","51.9","0.00","SW","1.6","6.8","NA","14.9","16.3","0.00","23.81","4.02","5.14"
"2020/04/20","20","6.8","15.3","24.0","2.4","46.0","0.00","SE","1.8","7.6","NA","15.3","16.8","0.00","25.16","4.66","6.17"
"2020/04/21","21","5.7","14.8","23.5","0.6","43.3","0.00","W","2.1","6.8","NA","15.8","17.3","0.00","25.17","4.87","6.62"
"2020/04/22","22","5.6","12.0","19.6","6.0","67.3","0.10","SW","2.1","9.2","NA","16.3","16.9","1.78","11.36","2.72","3.68"
"2020/04/23","23","9.2","15.0","21.4","3.0","48.4","0.00","W","2.7","10.0","NA","15.1","16.2","0.00","23.09","4.80","6.60"
"2020/04/24","24","7.9","13.8","21.1","4.0","54.2","0.00","W","1.8","7.6","NA","15.2","16.3","0.00","18.95","3.78","4.99"
"2020/04/25","25","7.8","14.8","22.2","4.5","54.7","0.00","W","3.3","13.2","NA","15.4","16.3","0.00","15.62","4.40","6.35"
"2020/04/26","26","3.7","14.5","22.7","-3.0","35.3","0.00","W","1.6","9.2","NA","15.2","16.7","0.00","23.49","4.40","5.90"
"2020/04/27","27","11.4","17.6","22.9","2.3","37.6","0.00","SW","5.1","15.6","NA","16.9","17.9","0.00","24.62","6.63","9.77"
"2020/04/28","28","5.3","15.6","23.6","4.0","47.6","0.00","NE","1.3","5.2","NA","16.6","18.0","0.00","21.80","3.96","5.02"
"2020/04/29","29","10.0","18.0","27.0","5.4","46.2","0.00","W","2.3","10.8","NA","17.6","18.7","0.00","15.61","4.76","6.80"
"2020/04/30","30","6.8","15.4","21.0","0.1","39.5","0.00","W","2.8","11.6","NA","18.0","19.1","0.00","24.66","5.04","6.98"
