"Date","Date","Min°C","Avg°C","Max°C","Avg1.5m DP°C","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedm/s","2m MaxGustm/s","5 cm°C","Min°C","Avg°C","TotPrecmm","TotalSolarRadMJ/m²","ETomm","ETrmm","Avg2m Atm.PresshPa"
"2020/04/01","1","1.5","6.2","11.3","-1.3","59.9","0.02","SW","2.0","6.4","NA","10.4","11.0","0.00","10.53","2.01","2.78","1018"
"2020/04/02","2","-3.7","5.5","12.7","-4.2","54.9","0.06","SW","2.0","8.3","NA","8.9","9.9","0.00","17.16","2.47","3.39","1022"
"2020/04/03","3","-1.0","6.6","14.1","-4.5","49.4","0.01","SW","3.3","11.2","NA","9.1","9.9","0.00","18.44","3.31","4.81","1018"
"2020/04/04","4","-3.5","6.6","13.4","-4.0","51.6","0.03","N","1.8","5.9","NA","8.9","9.8","0.00","18.21","2.56","3.45","1011"
"2020/04/05","5","4.9","9.8","15.7","1.7","59.1","0.00","N","2.1","6.2","NA","10.4","11.0","0.00","16.95","2.89","3.89","1006"
"2020/04/06","6","2.5","11.5","19.9","1.2","53.4","0.00","SW","1.8","6.4","NA","10.9","11.7","0.00","16.53","3.20","4.41","1011"
"2020/04/07","7","2.4","13.3","22.3","-2.6","41.1","0.02","W","2.4","8.0","NA","11.4","12.4","0.00","19.67","4.40","6.39","1019"
"2020/04/08","8","1.0","12.2","22.3","-4.1","36.3","0.00","NE","1.4","5.9","NA","11.9","13.0","0.00","20.99","3.78","5.20","1024"
"2020/04/09","9","1.7","12.9","24.1","-2.9","40.2","0.00","SE","1.1","3.8","NA","12.2","13.3","0.00","21.57","3.66","4.86","1019"
"2020/04/10","10","3.2","16.1","26.9","1.6","43.4","0.02","NW","2.0","10.0","NA","12.9","14.0","0.00","19.21","4.65","6.67","1013"
"2020/04/11","11","7.2","14.3","18.3","-4.1","31.5","0.00","N","3.4","9.6","NA","14.5","15.1","0.00","20.44","4.85","7.17","1017"
"2020/04/12","12","2.7","8.5","15.7","-7.6","35.0","0.00","N","2.1","6.7","NA","13.5","14.5","0.00","21.63","3.76","5.27","1026"
"2020/04/13","13","-1.1","9.2","18.2","-10.3","29.2","0.00","SE","1.8","7.3","NA","12.6","13.7","0.00","22.85","3.88","5.43","1029"
"2020/04/14","14","3.7","15.0","23.1","-3.7","31.5","0.00","SW","2.4","9.9","NA","13.1","14.0","0.00","19.30","4.78","6.98","1023"
"2020/04/15","15","8.3","15.8","19.3","1.3","38.0","0.00","N","3.7","11.0","NA","14.9","15.4","0.00","19.55","4.64","6.73","1022"
"2020/04/16","16","0.7","10.7","18.6","-4.6","39.0","0.00","N","1.8","7.3","NA","14.2","15.2","0.00","23.10","3.86","5.26","1026"
"2020/04/17","17","2.3","13.7","25.0","-4.6","36.2","0.02","S","2.4","9.6","NA","13.8","14.9","0.00","23.46","5.33","7.71","1015"
"2020/04/18","18","6.6","14.3","23.1","2.4","47.2","0.00","S","2.0","8.8","NA","14.7","15.6","0.00","18.99","4.18","5.77","1011"
"2020/04/19","19","6.9","14.9","22.7","4.4","53.4","0.05","S","1.5","6.7","NA","15.1","16.0","0.00","22.83","3.96","5.04","1016"
"2020/04/20","20","5.9","16.2","25.5","3.0","47.7","0.13","S","1.6","6.4","NA","15.6","16.6","0.00","23.32","4.52","6.01","1017"
"2020/04/21","21","5.6","16.3","24.5","1.1","41.1","0.02","W","2.2","8.3","NA","16.3","17.3","0.00","23.51","4.93","6.83","1020"
"2020/04/22","22","7.1","13.1","19.2","7.1","67.6","0.11","SW","2.7","11.5","NA","16.7","17.2","1.02","9.37","2.65","3.72","1020"
"2020/04/23","23","8.6","15.7","22.9","4.1","52.8","0.20","W","2.8","9.6","NA","15.6","16.2","0.00","19.55","4.63","6.50","1021"
"2020/04/24","24","7.2","14.1","21.9","4.8","58.0","0.00","SE","1.4","7.3","NA","15.8","16.5","0.00","16.42","3.35","4.36","1023"
"2020/04/25","25","8.0","16.3","24.4","5.2","52.9","0.02","SW","2.9","11.5","NA","16.1","16.7","0.00","13.08","4.34","6.35","1018"
"2020/04/26","26","3.8","15.8","23.5","-1.7","37.4","0.01","SW","1.9","10.5","NA","16.0","16.8","0.00","22.02","4.60","6.36","1018"
"2020/04/27","27","12.4","18.9","24.9","2.8","35.4","0.03","SW","4.4","13.7","NA","17.2","17.6","0.00","21.47","6.65","9.90","1017"
"2020/04/28","28","5.0","15.8","23.8","4.8","50.4","0.02","E","1.5","5.1","NA","16.1","17.1","0.00","20.06","3.89","5.05","1024"
"2020/04/29","29","10.0","19.3","27.4","4.3","39.5","0.00","W","2.5","10.7","NA","17.1","17.9","0.00","17.88","5.27","7.57","1014"
"2020/04/30","30","9.0","17.7","22.9","1.2","37.9","0.00","W","4.1","10.5","NA","18.5","19.1","0.00","22.85","5.99","8.74","1016"
"2020/05/01","1","4.2","14.7","23.5","-1.3","41.7","0.06","S","1.4","7.2","NA","17.7","18.7","0.00","25.12","4.52","5.92","1019"
"2020/05/02","2","9.1","15.6","25.8","4.5","51.0","0.06","SW","2.6","14.8","NA","18.5","19.3","0.25","19.67","5.14","7.24","1013"
"2020/05/03","3","7.5","13.2","19.2","0.5","45.4","0.00","SW","4.1","12.0","NA","17.9","18.8","0.00","24.67","5.28","7.53","1023"
"2020/05/04","4","2.6","13.2","22.1","0.4","45.9","0.01","E","1.4","5.4","NA","17.0","18.0","0.00","25.37","4.25","5.43","1024"
"2020/05/05","5","6.6","18.1","27.6","1.5","36.0","0.00","NE","1.5","5.6","NA","17.2","18.1","0.00","24.61","5.11","6.79","1019"
"2020/05/06","6","9.4","15.4","21.1","2.9","46.8","0.13","W","4.8","13.1","NA","18.4","19.1","4.06","22.55","5.70","8.28","1024"
"2020/05/07","7","2.9","13.2","21.3","2.1","51.4","0.07","NE","1.7","5.9","NA","16.5","17.7","0.00","26.55","4.32","5.47","1030"
"2020/05/08","8","6.1","17.0","25.7","4.6","48.5","0.00","N","2.2","8.3","NA","17.4","18.6","0.00","26.56","5.31","7.07","1025"
"2020/05/09","9","12.2","20.1","29.1","4.7","39.5","0.00","NE","2.2","6.4","NA","18.6","19.8","0.00","25.91","6.17","8.41","1019"
"2020/05/10","10","13.9","21.8","29.5","3.0","30.1","0.00","N","3.2","7.8","NA","20.0","20.8","0.00","19.66","6.88","10.17","1013"
"2020/05/11","11","14.8","20.6","25.9","2.0","29.6","0.00","N","3.6","8.3","NA","20.1","20.8","0.00","19.93","6.64","9.79","1008"
"2020/05/12","12","14.0","17.4","22.7","6.5","49.3","0.02","SW","3.2","13.9","NA","20.1","20.6","0.51","15.13","4.76","6.83","1006"
"2020/05/13","13","12.0","17.0","23.2","3.7","44.4","0.00","SW","3.9","9.9","NA","19.0","19.9","0.00","22.85","6.05","8.68","1011"
"2020/05/14","14","12.4","15.5","20.5","7.0","58.0","0.10","S","2.7","8.9","NA","19.5","20.3","0.25","17.96","4.17","5.64","1015"
"2020/05/15","15","12.1","17.2","22.9","5.9","50.1","0.00","S","2.0","6.4","NA","19.5","20.4","0.00","23.95","4.84","6.27","1019"
"2020/05/16","16","8.6","16.8","25.3","7.4","57.6","0.13","N","1.9","7.2","NA","20.0","20.8","0.00","15.46","3.96","5.34","1012"
"2020/05/17","17","11.4","15.7","20.0","10.8","73.6","0.12","SW","1.4","8.4","NA","19.9","20.4","0.25","10.65","2.38","2.92","1007"
"2020/05/18","18","9.3","15.3","22.0","10.5","75.0","0.34","S","1.6","7.5","NA","18.6","19.3","0.51","17.34","3.26","3.94","1009"
"2020/05/19","19","12.8","15.8","20.9","10.9","73.8","0.24","SW","2.3","6.2","NA","18.5","19.0","3.05","11.44","2.95","3.89","1013"
"2020/05/20","20","13.0","16.4","23.0","9.1","64.6","0.33","W","2.6","9.6","NA","17.9","18.5","2.54","10.48","3.58","5.06","1011"
"2020/05/21","21","9.9","15.5","20.7","2.3","44.4","0.00","SW","4.8","12.4","NA","16.8","17.7","0.00","24.14","5.91","8.51","1013"
"2020/05/22","22","7.0","14.1","19.2","2.0","46.6","0.00","SW","3.1","8.4","NA","16.7","17.5","0.00","14.36","4.02","5.76","1016"
"2020/05/23","23","7.9","15.5","22.1","3.5","47.3","0.00","SE","2.0","5.7","NA","16.3","17.5","0.00","27.58","5.04","6.48","1020"
"2020/05/24","24","8.3","17.5","26.1","5.2","49.4","0.00","E","1.5","5.4","NA","18.3","19.7","0.00","26.74","5.16","6.52","1020"
"2020/05/25","25","10.7","17.7","22.0","10.3","62.7","0.09","SW","1.8","8.6","NA","20.2","20.9","0.51","12.05","2.92","3.76","1017"
"2020/05/26","26","13.6","21.3","28.3","8.1","49.0","0.00","S","2.2","9.1","NA","19.4","20.4","0.00","24.58","5.87","7.81","1017"
"2020/05/27","27","8.3","20.3","28.4","2.7","34.2","0.00","E","1.8","6.5","NA","20.6","21.9","0.00","28.48","6.01","7.91","1020"
"2020/05/28","28","11.0","22.2","32.1","5.6","38.5","0.00","N","1.5","5.6","NA","21.8","23.1","0.00","26.56","6.09","7.95","1017"
"2020/05/29","29","13.2","24.6","34.5","9.2","43.7","0.00","NE","1.3","4.9","NA","23.1","24.3","0.00","27.11","6.18","7.84","1011"
"2020/05/30","30","14.0","22.9","31.2","14.5","60.7","0.09","NW","3.2","12.3","NA","24.5","25.3","4.32","12.18","4.85","6.99","1004"
"2020/05/31","31","12.8","18.0","24.6","5.0","45.6","0.01","SW","3.7","10.2","NA","21.2","22.5","0.00","24.38","6.35","8.96","1014"
