"Date","Date","Min°F","Avg°F","Max°F","AvgDP°F","AvgRH%","AvgLWu.","AvgDir°","AvgSpeedmph","MaxGustmph","Avg 2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2020/04/01","1","30.1","40.2","49.9","27.8","62.0","0.01","W","4.1","17.1","NA","48.0","49.7","0.00","13.57","0.08","0.10"
"2020/04/02","2","26.6","40.2","53.0","25.3","59.0","0.02","SW","4.5","22.5","NA","46.6","49.0","0.00","19.42","0.10","0.13"
"2020/04/03","3","26.9","40.5","54.1","21.1","49.8","0.00","W","6.1","31.4","NA","46.8","49.3","0.00","20.68","0.12","0.17"
"2020/04/04","4","29.7","42.5","53.4","22.4","47.6","0.01","NE","4.8","24.3","NA","47.1","49.1","0.00","16.25","0.10","0.14"
"2020/04/05","5","38.0","47.3","58.3","32.7","58.0","0.00","NE","3.9","18.9","NA","49.4","51.0","0.00","16.26","0.10","0.14"
"2020/04/06","6","33.0","49.7","65.8","33.3","57.2","0.00","W","3.8","15.3","NA","49.5","52.2","0.00","21.76","0.13","0.17"
"2020/04/07","7","34.7","53.1","70.8","24.2","38.1","0.00","W","4.4","17.1","NA","51.0","53.7","0.00","21.93","0.17","0.23"
"2020/04/08","8","36.1","53.3","69.9","19.2","28.5","0.00","N","4.7","15.3","NA","51.8","54.6","0.00","22.95","0.17","0.25"
"2020/04/09","9","37.4","56.0","75.0","24.1","32.6","0.00","NW","4.4","13.5","NA","52.8","55.8","0.00","23.12","0.18","0.26"
"2020/04/10","10","40.7","60.9","78.7","31.1","34.4","0.00","W","5.1","22.5","NA","54.4","57.2","0.00","21.39","0.20","0.28"
"2020/04/11","11","47.0","56.4","63.5","24.9","34.1","0.00","N","7.2","26.0","NA","57.1","59.1","0.00","23.09","0.19","0.28"
"2020/04/12","12","39.2","49.0","57.8","15.2","26.7","0.00","E","4.8","20.7","NA","56.1","58.6","0.00","23.58","0.15","0.21"
"2020/04/13","13","30.9","48.1","62.4","13.9","28.3","0.00","SW","4.6","17.1","NA","54.7","57.6","0.00","24.47","0.16","0.22"
"2020/04/14","14","36.8","57.3","74.6","23.4","29.0","0.00","W","5.4","20.7","NA","55.3","57.8","0.00","21.66","0.20","0.29"
"2020/04/15","15","45.8","57.7","65.4","31.9","38.3","0.00","N","7.6","36.8","NA","58.3","59.4","0.00","12.18","0.16","0.24"
"2020/04/16","16","34.5","50.3","63.6","21.3","36.7","0.00","NE","4.4","18.9","NA","55.3","58.0","0.00","24.86","0.16","0.21"
"2020/04/17","17","34.3","55.2","75.3","18.2","28.8","0.00","SW","5.9","24.3","NA","55.4","58.2","0.00","25.12","0.22","0.32"
"2020/04/18","18","47.7","58.6","69.7","34.0","41.6","0.00","SE","4.8","17.1","NA","57.6","59.8","0.00","19.67","0.17","0.23"
"2020/04/19","19","43.4","57.1","70.7","37.9","51.9","0.00","SW","3.6","15.3","NA","58.9","61.3","0.00","23.81","0.16","0.20"
"2020/04/20","20","44.2","59.5","75.3","36.2","46.0","0.00","SE","4.0","17.1","NA","59.6","62.3","0.00","25.16","0.18","0.24"
"2020/04/21","21","42.2","58.6","74.3","33.1","43.3","0.00","W","4.6","15.3","NA","60.5","63.2","0.00","25.17","0.19","0.26"
"2020/04/22","22","42.1","53.7","67.4","42.9","67.3","0.10","SW","4.6","20.7","NA","61.4","62.4","0.07","11.36","0.11","0.14"
"2020/04/23","23","48.6","58.9","70.6","37.4","48.4","0.00","W","6.1","22.5","NA","59.2","61.2","0.00","23.09","0.19","0.26"
"2020/04/24","24","46.2","56.9","70.0","39.2","54.2","0.00","W","4.0","17.1","NA","59.3","61.3","0.00","18.95","0.15","0.20"
"2020/04/25","25","46.0","58.7","72.0","40.2","54.7","0.00","W","7.4","29.6","NA","59.8","61.3","0.00","15.62","0.17","0.25"
"2020/04/26","26","38.7","58.0","72.9","26.5","35.3","0.00","W","3.5","20.7","NA","59.4","62.0","0.00","23.49","0.17","0.23"
"2020/04/27","27","52.6","63.6","73.2","36.2","37.6","0.00","SW","11.3","35.0","NA","62.4","64.1","0.00","24.62","0.26","0.38"
"2020/04/28","28","41.5","60.1","74.4","39.2","47.6","0.00","NE","3.0","11.7","NA","61.9","64.4","0.00","21.80","0.16","0.20"
"2020/04/29","29","49.9","64.4","80.6","41.8","46.2","0.00","W","5.3","24.3","NA","63.7","65.7","0.00","15.61","0.19","0.27"
"2020/04/30","30","44.3","59.7","69.9","32.1","39.5","0.00","W","6.2","26.0","NA","64.5","66.5","0.00","24.66","0.20","0.27"
