"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2021/07/01","1","66.6","77.8","88.7","58.0","51.8","96.9","90.9","93.9","0.00","26.62","0.29","0.39"
"2021/07/02","2","56.2","73.9","89.4","55.5","55.9","94.0","86.5","90.7","0.00","30.12","0.27","0.35"
"2021/07/03","3","57.1","76.8","92.6","56.6","53.5","95.0","86.4","90.8","0.00","29.37","0.27","0.35"
"2021/07/04","4","62.4","77.6","91.8","52.9","45.2","94.6","86.9","90.9","0.00","29.84","0.30","0.41"
"2021/07/05","5","59.7","77.1","92.1","53.3","46.9","94.0","86.4","90.4","0.00","29.65","0.30","0.40"
"2021/07/06","6","60.7","79.6","94.1","49.9","39.3","95.5","86.2","90.7","0.00","29.96","0.29","0.37"
"2021/07/07","7","65.4","78.1","91.1","51.4","41.8","95.6","87.8","91.7","0.00","26.26","0.30","0.42"
"2021/07/08","8","56.3","73.0","86.9","49.9","47.8","93.5","86.0","90.3","0.00","29.53","0.27","0.35"
"2021/07/09","9","56.8","74.5","89.6","50.2","45.4","93.5","85.5","89.9","0.00","29.28","0.28","0.37"
"2021/07/10","10","56.2","78.0","94.1","51.3","42.3","94.2","85.6","90.1","0.00","29.26","0.30","0.40"
"2021/07/11","11","61.9","78.6","93.4","48.5","39.2","94.9","86.2","90.5","0.00","29.76","0.31","0.42"
"2021/07/12","12","61.3","78.9","94.5","52.3","43.5","95.3","86.2","90.7","0.00","28.90","0.29","0.38"
"2021/07/13","13","63.6","80.4","96.8","55.1","44.6","95.6","87.3","91.3","0.00","26.29","0.29","0.39"
"2021/07/14","14","63.1","80.3","96.1","54.4","44.1","95.6","87.4","91.5","0.00","27.82","0.31","0.42"
