Date,Date,Min°F,Avg°F,Max°F,Avg1.5m DP°F,Avg1.5m RH%,Avg1.5m LWu.,AvgDir,Avg Speedmph,2m MaxGustmph,2 in.°F,Min°F,Avg°F,TotPrecin,TotalSolarRadMJ/m²,EToin,ETrin
7/1/2021,1,69.6,80.9,95.1,55.1,43.2,0.03,SE,4.2,17.1,NA,91.2,93.1,0,23.08,0.26,0.34
7/2/2021,2,59.4,77.9,94.3,51.3,43.8,0,NW,3.8,13.5,NA,88.4,91.3,0,29.8,0.27,0.35
7/3/2021,3,63.4,81.1,98.8,53.2,43.5,0,NW,3.2,11.7,NA,88.5,91.3,0,28.82,0.27,0.35
7/4/2021,4,60.2,80.6,97.5,46.2,34.3,0,W,4,15.3,NA,88.5,91.4,0,29.66,0.3,0.39
7/5/2021,5,59.5,80.3,98.3,44.9,33.1,0,NW,3.8,15.3,NA,88.3,91.3,0,29.4,0.29,0.39
7/6/2021,6,59.4,80.7,99.3,44.8,33.3,0,NW,4.1,11.7,NA,88.4,91.4,0,29.84,0.3,0.41
7/7/2021,7,66.4,81.2,95.4,46.3,32.5,0,W,4.1,15.3,NA,89.1,91.9,0,28.01,0.29,0.38
7/8/2021,8,56,75.6,92.9,44.2,37,0,NW,3.3,11.7,NA,88.2,91.1,0,28.94,0.26,0.33
7/9/2021,9,54.7,75.9,92.6,42.9,35.1,0.01,N,3.8,11.7,NA,87.4,90.4,0,29.4,0.27,0.35
7/10/2021,10,59.6,80.8,99,44.5,31.4,0,NW,3.8,11.7,NA,87.3,90.5,0,29.53,0.29,0.39
7/11/2021,11,58.8,79.6,97.1,40.5,30.6,0,NW,3.9,11.7,NA,88,91.1,0,29.56,0.29,0.39
7/12/2021,12,60.1,80.8,99.6,45.9,34.1,0,NW,3.9,11.7,NA,88.1,91.2,0,28.76,0.29,0.39
7/13/2021,13,63.2,81.3,99.9,51.7,39.1,0,NW,4.1,11.7,NA,88.8,91.6,0,25.57,0.28,0.37
7/14/2021,14,63.8,82.6,100.7,49.1,35.5,0.01,NW,3.7,13.5,NA,89.1,91.9,0,27.9,0.29,0.38
7/15/2021,15,58.9,78.2,93.6,46.5,35.8,0.01,W,4.8,17.1,NA,88.9,91.9,0,28.9,0.29,0.39
7/16/2021,16,55.4,74.1,90.9,47.5,42.6,0.03,NW,3.9,15.3,NA,88.4,91.3,0,28.29,0.26,0.33
7/17/2021,17,54.9,73.8,89.9,46.4,42.4,0.05,NW,3.8,13.5,NA,87.6,90.5,0,28.65,0.25,0.33
7/18/2021,18,59.5,78.1,95.1,46.8,38,0.02,NW,4,11.7,NA,87.7,90.6,0,28.82,0.28,0.37
7/19/2021,19,59.9,79.2,94.9,47.7,36.7,0.02,E,3.4,11.7,NA,87.9,90.7,0,24.75,0.25,0.32
7/20/2021,20,59,76.9,92.5,46.1,38.1,0.03,W,4.1,15.3,NA,88,90.9,0,28.46,0.27,0.36
7/21/2021,21,54.9,71.1,86.7,41.2,39.4,0.06,W,5,15.3,NA,87.5,90.4,0,28.71,0.27,0.36
7/22/2021,22,46.2,67.4,84.8,38.3,40.4,0.05,W,3.8,11.7,NA,85.9,89,0,28.76,0.24,0.31
