"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedmph","2m MaxGustmph","2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin","Avg2m Atm.PressinHg"
"2021/04/01","1","34.5","55.2","75.4","26.3","40.8","0.00","SW","4.1","18.9","NA","50.4","52.0","0.00","16.41","0.16","0.23","29.93"
"2021/04/02","2","37.0","56.6","72.3","31.7","42.8","0.01","S","3.8","16.0","NA","52.4","54.0","0.00","17.89","0.14","0.20","30.00"
"2021/04/03","3","40.4","55.0","66.6","33.3","45.9","0.00","SE","3.1","9.2","NA","53.9","55.1","0.00","12.86","0.11","0.15","30.12"
"2021/04/04","4","38.5","52.3","66.6","31.9","49.7","0.10","NW","5.4","22.8","NA","53.7","54.9","0.00","12.15","0.13","0.19","30.10"
"2021/04/05","5","37.2","52.1","62.3","19.4","29.1","0.00","W","4.9","17.8","NA","53.2","54.5","0.00","21.00","0.15","0.21","30.12"
"2021/04/06","6","33.7","52.0","69.5","28.0","45.7","0.04","S","3.4","15.7","NA","53.0","54.7","0.00","20.63","0.14","0.19","30.07"
"2021/04/07","7","35.8","52.4","64.3","30.7","47.5","0.03","SW","7.4","26.0","NA","53.5","54.7","0.00","9.92","0.13","0.20","29.99"
"2021/04/08","8","37.9","51.2","59.5","22.8","36.6","0.00","W","10.4","30.3","NA","53.5","54.5","0.00","19.33","0.17","0.26","30.18"
"2021/04/09","9","33.2","50.9","66.5","25.3","43.0","0.04","SW","7.3","23.2","NA","52.4","54.0","0.00","21.21","0.17","0.26","30.13"
"2021/04/10","10","40.1","49.7","56.4","20.2","34.5","0.00","W","11.5","31.8","NA","54.2","54.9","0.00","15.65","0.17","0.26","30.12"
"2021/04/11","11","26.5","43.6","57.4","16.0","37.7","0.01","SE","3.2","11.7","NA","51.7","53.4","0.00","22.10","0.12","0.16","30.33"
"2021/04/12","12","27.4","47.3","64.6","19.3","39.7","0.02","NE","5.9","25.7","NA","51.2","52.9","0.00","21.52","0.16","0.23","30.30"
"2021/04/13","13","43.9","54.6","65.5","15.9","22.9","0.00","NE","12.5","25.7","NA","52.9","54.1","0.00","22.02","0.25","0.39","30.24"
"2021/04/14","14","44.9","57.3","71.9","22.1","26.4","0.00","NE","11.1","24.6","NA","54.0","55.3","0.00","21.64","0.26","0.40","30.13"
"2021/04/15","15","50.7","61.7","75.5","30.4","32.6","0.00","NE","9.4","22.1","NA","55.7","57.0","0.00","22.48","0.26","0.39","30.10"
"2021/04/16","16","39.7","59.6","76.9","26.8","34.1","0.00","NE","5.4","19.6","NA","56.6","58.2","0.00","23.03","0.21","0.30","30.24"
"2021/04/17","17","35.8","58.4","78.7","28.3","37.3","0.01","E","2.6","8.9","NA","57.1","58.8","0.00","23.04","0.16","0.22","30.24"
"2021/04/18","18","39.7","66.0","86.5","29.8","34.3","0.03","W","6.5","30.3","NA","58.1","59.9","0.00","22.83","0.27","0.40","30.08"
"2021/04/19","19","46.4","56.4","66.7","22.5","29.7","0.00","N","6.3","16.0","NA","60.4","61.7","0.00","23.48","0.20","0.29","30.32"
"2021/04/20","20","41.3","55.2","70.4","22.9","31.3","0.00","N","6.1","17.1","NA","59.4","61.1","0.00","23.34","0.20","0.29","30.23"
"2021/04/21","21","35.4","56.0","73.8","27.0","38.7","0.03","SE","3.6","11.7","NA","58.8","60.6","0.00","23.51","0.17","0.23","30.02"
"2021/04/22","22","43.1","63.0","76.9","32.7","36.3","0.02","W","5.2","19.2","NA","60.3","61.8","0.00","21.50","0.20","0.28","29.79"
"2021/04/23","23","41.8","58.9","69.0","31.5","37.5","0.01","E","4.4","14.2","NA","61.5","62.9","0.00","18.71","0.16","0.21","29.90"
"2021/04/24","24","50.7","57.3","64.4","37.7","49.1","0.04","SW","7.3","21.0","NA","62.2","63.0","0.00","11.41","0.15","0.21","29.76"
"2021/04/25","25","48.5","57.5","67.7","33.3","42.5","0.00","SW","8.1","19.6","NA","60.6","61.7","0.00","18.03","0.19","0.28","29.72"
"2021/04/26","26","40.6","57.4","70.5","33.1","42.9","0.01","SW","4.6","17.5","NA","60.2","61.8","0.00","22.56","0.17","0.23","29.83"
"2021/04/27","27","40.3","59.1","72.9","33.3","41.5","0.04","SW","5.1","19.2","NA","60.7","62.3","0.00","23.50","0.19","0.26","30.09"
"2021/04/28","28","44.2","62.4","77.5","37.8","44.3","0.04","SE","3.7","11.7","NA","62.0","63.4","0.00","21.66","0.18","0.23","30.24"
"2021/04/29","29","50.1","70.2","88.2","37.1","36.0","0.02","S","4.2","15.0","NA","63.8","65.3","0.00","21.70","0.23","0.32","30.16"
"2021/04/30","30","56.2","69.0","81.1","38.5","33.7","0.00","SW","5.8","17.1","NA","65.9","67.2","0.00","17.30","0.22","0.32","30.09"
"2021/05/01","1","54.8","64.2","77.9","39.2","43.6","0.07","NW","7.0","27.8","NA","66.7","67.9","0.00","21.25","0.23","0.33","29.99"
"2021/05/02","2","45.3","60.7","73.2","31.2","35.8","0.00","SW","4.7","18.5","NA","65.8","67.4","0.00","25.75","0.20","0.27","30.10"
