"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2021/07/01","1","73.2","82.9","98.6","55.2","40.2","97.5","90.5","92.8","0.00","20.76","0.30","0.43"
"2021/07/02","2","64.7","80.4","95.7","53.6","43.0","97.0","87.1","90.2","0.00","30.27","0.29","0.38"
"2021/07/03","3","65.7","82.9","101.8","55.2","43.3","98.5","87.4","90.5","0.00","29.45","0.30","0.39"
"2021/07/04","4","63.3","83.9","100.5","47.0","33.6","98.6","87.6","90.8","0.00","30.35","0.32","0.44"
"2021/07/05","5","66.2","84.3","100.2","47.8","32.0","99.2","87.8","91.0","0.00","30.04","0.32","0.42"
"2021/07/06","6","63.7","83.2","98.5","48.3","33.5","99.4","88.0","91.2","0.00","30.43","0.29","0.37"
"2021/07/07","7","68.9","84.8","99.2","47.0","30.8","99.8","89.1","91.9","0.00","28.23","0.35","0.49"
"2021/07/08","8","59.6","79.1","95.6","46.3","36.1","96.7","87.6","90.9","0.00","29.73","0.29","0.38"
"2021/07/09","9","61.1","77.9","93.3","45.4","36.4","96.2","87.1","90.3","0.00","30.11","0.27","0.34"
"2021/07/10","10","58.8","82.6","102.5","46.1","36.7","97.1","86.5","90.1","0.00","29.84","0.32","0.43"
"2021/07/11","11","63.3","82.6","98.1","46.6","33.6","99.4","88.0","91.1","0.00","29.94","0.28","0.37"
"2021/07/12","12","62.6","82.7","99.6","46.9","33.3","98.5","87.8","91.2","0.00","29.16","0.28","0.36"
"2021/07/13","13","67.0","86.1","101.5","49.9","32.2","99.6","88.7","91.7","0.00","26.31","0.28","0.37"
"2021/07/14","14","65.8","86.7","104.2","48.6","32.4","100.6","89.1","92.1","0.00","27.95","0.33","0.45"
"2021/07/15","15","66.5","82.3","97.3","48.4","34.4","99.7","89.1","92.2","0.00","29.04","0.32","0.44"
"2021/07/16","16","63.6","78.2","91.8","47.1","36.0","97.3","88.2","91.3","0.00","28.67","0.31","0.42"
"2021/07/17","17","59.1","75.7","89.3","49.9","43.3","95.5","86.9","90.2","0.00","28.82","0.25","0.32"
"2021/07/18","18","61.7","79.6","95.6","51.8","42.9","97.0","87.3","90.3","0.00","28.84","0.27","0.35"
"2021/07/19","19","63.1","78.3","91.9","54.8","47.8","92.4","87.6","90.1","0.00","19.17","0.20","0.26"
"2021/07/20","20","66.8","81.6","94.9","46.5","32.8","96.6","86.4","89.2","0.00","28.25","0.29","0.38"
"2021/07/21","21","63.8","75.9","88.7","41.7","31.8","96.2","87.3","90.1","0.00","28.24","0.30","0.42"
"2021/07/22","22","54.2","70.9","84.1","44.2","41.4","91.6","85.1","88.5","0.00","28.69","0.23","0.30"
"2021/07/23","23","57.0","75.0","91.4","45.9","40.3","92.5","84.6","87.9","0.00","28.14","0.25","0.32"
"2021/07/24","24","60.4","78.6","95.5","49.0","40.2","95.7","85.5","88.7","0.00","28.06","0.25","0.31"
"2021/07/25","25","62.2","83.2","101.0","50.8","37.1","98.3","86.9","90.1","0.00","28.24","0.28","0.37"
"2021/07/26","26","63.0","80.2","93.1","51.2","39.6","94.2","88.2","90.5","0.00","20.26","0.21","0.27"
"2021/07/27","27","66.4","75.7","82.5","56.0","52.1","83.7","85.5","87.8","0.00","5.36","0.10","0.14"
"2021/07/28","28","62.7","79.1","94.2","56.3","50.0","90.9","81.7","84.6","0.00","24.27","0.22","0.27"
"2021/07/29","29","63.6","82.5","100.7","55.9","45.8","97.0","84.7","87.9","0.00","26.85","0.25","0.31"
"2021/07/30","30","68.2","90.2","108.0","52.9","34.6","100.2","87.8","90.6","0.00","25.10","0.33","0.47"
"2021/07/31","31","73.3","88.7","103.2","53.8","33.4","97.2","89.2","91.4","0.00","15.77","0.27","0.39"
"2021/08/01","1","77.8","83.5","90.4","63.3","51.3","93.1","88.5","90.1","0.00","13.07","0.18","0.24"
"2021/08/02","2","70.2","83.4","98.0","62.5","53.1","96.7","86.7","89.3","0.00","22.25","0.21","0.25"
"2021/08/03","3","67.4","85.0","102.9","58.4","46.1","96.9","87.8","90.4","0.00","21.83","0.26","0.34"
"2021/08/04","4","70.1","85.0","98.5","56.9","40.6","98.1","88.3","91.0","0.00","22.99","0.23","0.30"
"2021/08/05","5","66.4","79.1","92.6","58.8","52.5","91.9","88.0","90.3","0.00","15.51","0.17","0.23"
"2021/08/06","6","68.8","80.7","91.6","53.8","41.2","94.0","86.2","88.6","0.00","23.79","0.30","0.42"
"2021/08/07","7","64.6","79.3","97.0","55.2","46.3","95.1","85.8","88.7","0.00","25.42","0.30","0.41"
"2021/08/08","8","63.2","73.0","82.3","43.2","35.8","91.4","86.0","88.5","0.00","23.99","0.27","0.39"
"2021/08/09","9","54.4","70.8","85.0","47.7","47.5","89.7","83.3","86.4","0.00","25.60","0.20","0.25"
"2021/08/10","10","59.0","76.0","92.3","52.4","48.1","92.0","83.7","86.8","0.00","23.98","0.21","0.26"
"2021/08/11","11","64.4","84.3","104.2","56.3","43.9","96.5","85.5","88.5","0.00","24.09","0.24","0.31"
"2021/08/12","12","70.4","85.1","100.0","53.2","38.2","95.7","87.6","90.2","0.00","20.78","0.25","0.35"
"2021/08/13","13","63.2","78.5","96.0","54.5","47.3","90.4","86.0","88.6","0.00","17.64","0.17","0.22"
"2021/08/14","14","66.0","84.1","102.0","54.9","40.7","92.3","85.1","87.7","0.00","18.74","0.21","0.27"
"2021/08/15","15","67.2","84.7","100.1","54.2","39.4","94.3","86.0","88.5","0.00","20.12","0.22","0.30"
"2021/08/16","16","64.6","83.6","101.0","48.1","33.1","95.4","86.4","89.3","0.00","23.42","0.28","0.40"
"2021/08/17","17","65.0","71.9","77.9","45.2","39.2","86.7","86.7","88.4","0.00","12.69","0.19","0.28"
"2021/08/18","18","59.7","70.4","82.5","50.2","52.4","87.2","81.9","84.6","0.00","23.13","0.20","0.27"
"2021/08/19","19","58.1","74.0","89.2","49.8","46.4","87.8","82.0","84.9","0.00","21.34","0.21","0.28"
