Date,Date,Min°F,Avg°F,Max°F,Avg1.5m DP°F,Avg1.5m RH%,2 in.°F,Min°F,Avg°F,Avg 2in.SWPkPa,Avg 8in.SWPkPa,TotPrecin,TotalSolarRadMJ/m²,EToin,ETrin
7/1/2022,1,54.3,72.2,87.4,50.5,50.4,83.6,77.4,81.4,NA,-764.2,0,29.92,0.25,0.32
7/2/2022,2,52.5,70.6,85.7,53.1,56.9,83.3,78.4,81.7,NA,-723.6,0.17,24.98,0.23,0.3
7/3/2022,3,55.1,64.2,77.5,54.4,72.6,77.2,76.1,78.2,NA,-756.6,0.07,20.63,0.18,0.24
7/4/2022,4,53.9,63.5,77.2,49.2,63.2,74.8,71.8,75.3,NA,-823.6,0,22.09,0.2,0.27
7/5/2022,5,49.9,66.1,81.8,53.1,66.8,77.1,71.6,75.8,NA,-823.2,0,26.66,0.22,0.27
7/6/2022,6,61.1,70.5,82.5,58,66.6,79.1,74.5,77.5,NA,-778.8,0.06,24.6,0.22,0.28
7/7/2022,7,61,69.7,80.3,56.6,66.1,78,74.8,77.3,NA,-755.1,0.01,17.94,0.17,0.22
7/8/2022,8,55.4,70.7,83.9,53.3,57.3,80.2,74.1,78.4,NA,-743.9,0,27.2,0.23,0.28
7/9/2022,9,56,69.5,83.7,50.1,52.4,79.3,76.1,78.9,NA,-731,0,20.24,0.21,0.28
7/10/2022,10,57.2,70.9,83.6,47.9,47.6,81.4,75,79.5,NA,-733.3,0,28.91,0.25,0.33
7/11/2022,11,54.5,73.3,88.3,53.2,52.6,84.2,77.4,82,NA,-684.6,0,29.74,0.25,0.32
7/12/2022,12,60.9,79,94.4,54.3,46.2,87,80.1,84.5,NA,-627,0,28.7,0.28,0.37
7/13/2022,13,63.2,76.5,89.8,51,43.1,88.2,82.6,86.2,NA,-578.1,0,25.92,0.28,0.37
7/14/2022,14,54.9,73.4,88.5,47.7,43.6,87,81.1,85.4,NA,-589.1,0,29.84,0.26,0.33
7/15/2022,15,57.1,74.6,89.4,48.3,42.1,87.4,81.7,85.8,NA,-586.2,0,29.05,0.29,0.38
7/16/2022,16,54.5,73.6,88.2,52.1,49.5,88,82,86.2,NA,-584.1,0,28.86,0.25,0.32
7/17/2022,17,52.9,68.1,82.7,47.5,50.8,87.5,82.4,86.3,NA,-587.7,0,29.1,0.26,0.35
7/18/2022,18,52.8,67.6,81.4,46,48.3,86.1,81.1,85.1,NA,-613.7,0,28.94,0.26,0.35
7/19/2022,19,53.5,73.1,89.2,48.4,46.1,87.5,81.3,85.4,NA,-626.4,0,28.99,0.25,0.31
7/20/2022,20,54.3,77.5,94,50.6,42.6,89.5,82.8,86.9,NA,-611.1,0,29.14,0.27,0.34
