"Date","Date","Min°C","Avg°C","Max°C","Avg1.5m DP°C","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedm/s","2m MaxGustm/s","5 cm°C","Min°C","Avg°C","TotPrecmm","TotalSolarRadMJ/m²","ETomm","ETrmm"
"2022/04/01","1","-0.2","8.2","15.7","-1.3","54.0","0.04","S","1.9","6.8","NA","10.0","11.2","0.00","18.92","2.84","3.83"
"2022/04/02","2","3.8","10.4","17.0","0.7","57.9","0.31","W","1.9","8.4","NA","10.9","11.9","1.27","20.82","3.20","4.27"
"2022/04/03","3","3.3","9.9","16.8","1.1","57.3","0.00","SW","2.8","11.6","NA","10.9","11.8","0.00","16.20","3.16","4.47"
"2022/04/04","4","3.7","9.9","13.8","-0.4","49.6","0.00","W","6.5","21.2","NA","11.7","12.2","0.00","17.05","3.74","5.61"
"2022/04/05","5","-0.8","7.5","14.6","-6.7","40.4","0.00","W","3.9","14.0","NA","10.4","11.6","0.00","22.54","4.01","5.90"
"2022/04/06","6","-1.7","7.0","14.4","-5.6","44.3","0.00","NE","1.8","6.8","NA","10.0","11.2","0.00","21.40","3.06","4.15"
"2022/04/07","7","1.0","10.6","19.7","-2.8","41.7","0.00","E","1.7","6.8","NA","10.4","11.6","0.00","22.02","3.64","4.95"
"2022/04/08","8","3.4","10.8","17.5","-1.9","44.3","0.01","W","3.7","15.6","NA","11.5","12.5","0.00","18.47","4.16","6.12"
"2022/04/09","9","1.0","7.0","12.7","-6.3","40.8","0.00","W","2.8","11.6","NA","11.1","12.1","0.00","19.25","3.35","4.78"
"2022/04/10","10","-1.3","5.6","10.9","-4.0","52.9","0.08","NW","2.1","12.4","NA","10.7","11.6","0.00","15.56","2.39","3.24"
"2022/04/11","11","0.4","2.9","4.8","0.9","87.5","0.61","N","4.2","18.8","NA","9.6","10.4","10.67","8.80","0.98","1.22"
"2022/04/12","12","0.8","3.1","6.7","1.5","89.5","0.43","E","1.7","7.6","NA","8.6","9.2","2.54","9.86","1.21","1.40"
"2022/04/13","13","-0.5","2.4","6.6","0.4","87.8","0.36","NW","2.3","10.8","NA","8.2","9.0","0.00","13.15","1.43","1.71"
"2022/04/14","14","-1.8","2.1","7.3","-1.0","82.5","0.24","NW","1.9","6.0","NA","7.8","8.6","0.51","15.35","1.68","2.04"
"2022/04/15","15","-2.0","4.3","10.0","-1.5","69.7","0.16","SE","1.7","7.6","NA","7.6","8.8","0.00","23.60","2.45","2.95"
"2022/04/16","16","0.4","3.3","6.8","0.9","84.8","0.22","W","2.2","9.2","NA","8.5","8.9","2.79","8.17","1.19","1.47"
"2022/04/17","17","-1.4","6.3","12.0","-1.9","59.4","0.00","E","1.8","6.8","NA","7.4","8.8","0.00","22.41","2.70","3.38"
"2022/04/18","18","4.0","8.3","13.3","2.0","66.7","0.08","SW","1.9","10.8","NA","9.4","10.2","1.52","12.18","2.23","2.92"
"2022/04/19","19","2.6","8.1","13.1","0.8","61.0","0.00","SW","3.4","9.2","NA","9.7","10.8","0.00","19.20","2.99","4.05"
"2022/04/20","20","0.3","6.8","12.1","3.5","81.0","0.36","NE","2.1","10.8","NA","9.7","10.4","6.35","12.12","1.71","2.10"
"2022/04/21","21","5.1","9.8","15.5","3.4","69.6","0.26","SW","2.9","10.8","NA","10.0","11.0","2.79","21.88","3.34","4.36"
"2022/04/22","22","1.4","9.6","17.3","2.1","63.4","0.02","W","2.0","9.2","NA","10.4","11.8","0.00","23.78","3.44","4.37"
"2022/04/23","23","3.3","11.2","18.6","1.7","56.5","0.01","W","1.8","6.8","NA","11.4","12.7","0.00","25.14","3.79","4.81"
"2022/04/24","24","3.4","12.9","20.7","1.4","50.5","0.00","NE","1.6","5.2","NA","12.2","13.4","0.00","24.46","3.96","5.07"
"2022/04/25","25","7.4","13.4","19.4","4.3","55.2","0.01","SW","2.1","6.8","NA","13.1","14.0","0.00","15.48","3.33","4.47"
"2022/04/26","26","5.6","10.8","16.5","0.1","51.9","0.01","W","2.9","12.4","NA","13.4","14.3","0.00","23.49","4.10","5.57"
"2022/04/27","27","3.5","9.5","15.6","0.3","56.7","0.02","W","1.5","8.4","NA","13.1","14.1","0.00","20.99","3.16","3.95"
"2022/04/28","28","3.6","9.6","15.6","0.9","57.7","0.01","W","1.7","10.0","NA","13.1","13.9","0.00","17.14","2.95","3.82"
"2022/04/29","29","1.7","10.6","17.6","0.2","52.7","0.02","S","2.3","10.0","NA","12.9","14.0","0.00","21.67","3.67","4.88"
"2022/04/30","30","8.2","10.0","12.4","8.6","92.0","0.76","E","1.6","6.8","NA","13.8","14.1","7.37","7.41","1.26","1.42"
"2022/05/01","1","5.4","12.7","18.9","7.0","71.5","0.33","SW","2.0","7.6","NA","13.1","14.3","0.51","24.66","3.61","4.35"
"2022/05/02","2","7.8","10.1","13.2","7.4","84.2","0.22","W","2.7","10.0","NA","14.0","14.5","3.81","10.59","1.86","2.31"
"2022/05/03","3","5.3","13.8","20.8","5.8","62.4","0.02","SW","2.3","9.2","NA","13.2","14.5","0.00","26.50","4.30","5.45"
