Date,Date,Min°C,Avg°C,Max°C,Avg1.5m DP°C,Avg1.5m RH%,Avg1.5m LWu.,AvgDir,Avg Speedm/s,2m MaxGustm/s,5 cm°C,Min°C,Avg°C,TotPrecmm,TotalSolarRadMJ/m²,ETomm,ETrmm,Avg2m Atm.PresshPa
4/1/2022,1,-0.3,9.8,16.8,-1,51.6,0.1,SW,1.7,7.3,NA,12.8,13.7,NA,18.72,2.85,3.85,1018
4/2/2022,2,7.2,11.9,17,1.8,55.4,0.16,SW,3.2,10.4,NA,13.4,14,NA,19.59,3.73,5.3,1020
4/3/2022,3,2.4,10.3,17.6,1.7,61,0.01,SW,2.6,10.4,NA,12.8,13.6,NA,15.56,3.06,4.32,1015
4/4/2022,4,5.8,11.8,15.5,0.1,45.5,0.01,SW,6.5,19,NA,13.5,14,NA,19.29,4.39,6.61,1005
4/5/2022,5,3.8,9.5,15.8,-6.3,36.3,0,W,4,12.6,NA,12.8,13.6,NA,20.35,4.48,6.71,1023
4/6/2022,6,-2.1,7.8,16.2,-3.5,51,0.05,NE,1.5,5.9,NA,12.5,13.5,NA,21.23,2.94,3.89,1033
4/7/2022,7,1.4,10.8,20.4,-0.6,50.3,0,N,1.5,5.9,NA,13,13.9,NA,20.9,3.4,4.53,1027
4/8/2022,8,5.1,12.7,20.3,-0.8,45.1,0,SW,4.5,13.1,NA,13.8,14.5,NA,17,4.96,7.53,1019
4/9/2022,9,4.1,8.9,14.6,-5.2,40,0,W,4.1,12.9,NA,13.5,14.2,NA,20.87,4.28,6.32,1022
4/10/2022,10,1.9,6.7,11.7,-1.1,59.7,0.13,SW,2.7,9.7,NA,13.1,13.6,NA,12.15,2.38,3.35,1014
4/11/2022,11,0.5,4,6.3,2.2,89.2,0.5,N,4,12.1,NA,11.2,12.2,NA,5.65,0.75,0.95,1000
4/12/2022,12,0.7,3.9,8.3,1.7,87,0.21,NE,1.5,7.3,NA,9.7,10.4,NA,12.45,1.47,1.72,1015
4/13/2022,13,1.1,4.6,8.5,0.8,78.7,0.15,W,2.1,6.8,NA,9.6,10.1,NA,13.01,1.69,2.11,1016
4/14/2022,14,0.4,3.3,7.3,1.2,87.6,0.26,NW,2.2,8,NA,9.2,9.7,NA,14.61,1.54,1.81,1014
4/15/2022,15,0.5,5.7,11.2,0,71.1,0.01,NE,1.7,4.9,NA,8.9,9.8,NA,19.6,2.37,2.91,1018
4/16/2022,16,2,3.9,7.2,1.8,86.7,0.25,NW,3.1,7.3,NA,9.4,10,NA,5.61,1.06,1.44,1014
4/17/2022,17,2.5,8.2,13.7,-0.2,58.8,0,SW,2.1,5.7,NA,8.2,9.2,NA,22.02,3.08,3.98,1024
4/18/2022,18,5.4,9.7,14.1,1.8,59.2,0.08,NW,2.8,10.8,NA,10,10.6,NA,11.88,2.69,3.78,1010
4/19/2022,19,5.7,9.9,14.4,0.8,54.9,0,SW,3.9,9.2,NA,10.4,11.3,NA,18.47,3.57,5.05,1011
4/20/2022,20,0.8,9.3,15.7,3.7,72.4,0.28,NE,2,13.9,NA,10.8,11.7,NA,13.42,2.26,2.91,1009
4/21/2022,21,5.6,11.4,17.2,4.1,67.7,0.23,SW,2.7,8.3,NA,11.3,12,NA,21.88,3.55,4.66,1009
4/22/2022,22,1,10.7,19,2.1,61.9,0.23,W,1.8,10.2,NA,11.3,12.5,NA,23.61,3.56,4.55,1017
4/23/2022,23,3,12.9,19.6,1.6,51.2,0.05,SW,1.5,6.2,NA,12.8,14.1,NA,24.49,3.75,4.75,1024
4/24/2022,24,2.1,13,21.7,2.3,56.1,0.08,NE,1.4,5.1,NA,14,15.2,NA,23.94,3.85,4.9,1022
4/25/2022,25,6.9,14,20.2,5.6,60.9,0.03,SW,2.3,7.8,NA,15.1,15.8,NA,13.67,3.21,4.38,1017
4/26/2022,26,9.5,12.9,17.6,0.3,45.6,0,SW,3.9,10.8,NA,15,15.7,NA,19.6,4.77,6.92,1016
4/27/2022,27,6.9,11.7,16.8,0.6,49.4,0,SW,2.2,7.6,NA,14.8,15.5,NA,17.49,3.52,4.78,1018
4/28/2022,28,3.5,10.8,17,1.6,56.6,0.01,W,1.9,7.2,NA,14.6,15.5,NA,19.39,3.27,4.25,1015
4/29/2022,29,6.9,13.2,19.1,0.7,46,0,S,2.7,7.3,NA,15,16,NA,25.31,4.66,6.34,1020
4/30/2022,30,8.7,10.8,13,9.3,91.5,0.71,W,1.7,6.4,NA,15.5,16.3,NA,7.15,1.21,1.38,1016
5/1/2022,1,7.9,14.1,19.1,8,70.6,0.2,S,2,6.4,NA,14.5,15.4,NA,22.98,3.56,4.3,1016
5/2/2022,2,8.7,11.3,14.1,7.4,78.4,0.13,W,2.9,11.3,NA,14.9,15.4,NA,10.62,2.1,2.73,1010
5/3/2022,3,9.4,15.6,21.1,5.7,53.7,0,SW,3,8,NA,13.9,15,NA,25.72,4.83,6.44,1019
