"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2023/04/01","1","31.3","42.9","52.1","29.3","61.1","45.9","45.3","46.3","NA","-28.7","0.04","14.99","0.11","0.16"
"2023/04/02","2","27.8","37.0","48.7","27.9","71.8","44.0","43.7","45.4","NA","-30.7","0.00","14.36","0.08","0.11"
"2023/04/03","3","30.0","36.0","48.5","31.6","85.8","44.3","43.7","45.2","NA","-32.1","0.12","11.80","0.07","0.09"
"2023/04/04","4","27.4","38.5","50.6","25.6","64.6","45.4","43.0","45.3","NA","-33.6","0.00","21.05","0.09","0.12"
"2023/04/05","5","24.0","38.9","53.2","25.1","62.1","45.3","43.9","46.0","NA","-36.1","0.00","22.19","0.11","0.16"
"2023/04/06","6","31.6","45.6","59.2","33.1","63.9","47.1","45.0","46.8","NA","-40.1","0.00","13.67","0.11","0.15"
"2023/04/07","7","44.2","49.8","57.9","43.3","78.9","49.9","48.0","49.1","NA","-43.0","0.09","12.51","0.09","0.13"
"2023/04/08","8","34.2","46.6","56.4","34.7","65.7","48.6","47.7","49.0","NA","-46.3","0.00","13.15","0.10","0.14"
"2023/04/09","9","42.9","51.1","62.4","41.0","69.9","49.7","48.0","49.3","NA","-50.8","0.04","9.01","0.11","0.15"
"2023/04/10","10","44.5","50.3","53.2","47.7","90.9","51.6","50.2","50.8","NA","-53.7","0.16","6.99","0.04","0.04"
"2023/04/11","11","33.0","45.3","54.0","34.0","67.8","50.7","49.8","50.8","NA","-56.5","0.11","18.97","0.11","0.15"
"2023/04/12","12","27.7","40.4","51.6","25.4","58.6","48.6","47.1","49.1","NA","-60.5","0.00","19.99","0.10","0.14"
"2023/04/13","13","30.1","42.1","53.0","26.8","56.8","48.7","47.3","49.2","NA","-62.8","0.00","20.03","0.11","0.15"
"2023/04/14","14","28.2","43.7","55.9","27.0","55.0","50.0","47.1","49.6","NA","-67.1","0.00","23.90","0.12","0.16"
"2023/04/15","15","33.4","48.6","60.1","31.4","53.6","51.2","48.6","50.7","NA","-75.7","0.00","16.80","0.12","0.16"
"2023/04/16","16","40.6","50.0","58.6","35.5","58.2","51.2","50.7","51.5","NA","-90.1","0.00","9.63","0.12","0.17"
"2023/04/17","17","32.2","43.8","55.4","28.5","57.4","50.2","48.2","50.2","NA","-111.1","0.00","18.43","0.12","0.16"
"2023/04/18","18","33.9","42.9","51.8","27.2","55.2","50.3","49.1","50.4","NA","-141.3","0.01","17.06","0.12","0.16"
"2023/04/19","19","28.8","41.8","52.7","29.2","62.4","48.3","47.5","49.1","NA","-175.0","0.00","15.55","0.10","0.13"
"2023/04/20","20","27.2","39.7","49.7","30.7","73.3","47.4","46.9","48.4","NA","-210.3","0.16","15.35","0.08","0.11"
"2023/04/21","21","32.8","44.9","55.4","35.1","72.0","50.6","46.9","49.2","NA","-240.8","0.00","20.86","0.10","0.13"
"2023/04/22","22","35.0","50.1","61.5","36.1","60.8","54.1","49.6","52.1","NA","-270.8","0.00","21.98","0.13","0.16"
"2023/04/23","23","44.8","53.2","65.6","41.4","64.6","56.2","52.7","54.4","NA","-328.4","0.00","16.61","0.14","0.19"
"2023/04/24","24","43.8","51.6","62.2","35.0","55.4","56.4","53.3","55.0","NA","-414.4","0.00","19.19","0.16","0.22"
"2023/04/25","25","35.2","50.9","65.2","35.5","59.2","56.3","52.9","55.1","NA","-523.9","0.00","25.29","0.16","0.21"
"2023/04/26","26","38.8","57.3","73.5","40.6","56.2","58.1","54.0","56.4","NA","-639.8","0.00","21.21","0.18","0.26"
"2023/04/27","27","48.5","60.8","72.1","36.3","43.9","61.4","56.7","58.8","NA","-750.6","0.00","24.63","0.21","0.29"
"2023/04/28","28","38.6","60.7","79.8","34.2","40.0","62.0","57.0","59.8","NA","-901.3","0.00","26.02","0.22","0.30"
"2023/04/29","29","45.5","66.3","82.5","39.9","41.0","64.7","59.2","61.8","NA","-1048.9","0.00","25.24","0.22","0.30"
"2023/04/30","30","51.1","66.1","82.2","44.7","49.0","66.8","61.3","63.9","NA","-1204.0","0.00","25.60","0.24","0.34"
"2023/05/01","1","46.5","57.9","69.6","43.6","60.4","66.9","62.2","64.6","NA","-1340.4","0.00","22.96","0.17","0.22"
"2023/05/02","2","43.7","57.8","70.2","46.2","67.1","65.6","62.6","64.4","NA","-1433.8","0.00","17.92","0.15","0.20"
"2023/05/03","3","48.0","69.1","87.2","48.3","52.4","68.3","62.4","65.1","NA","-1462.1","0.00","25.41","0.24","0.34"
"2023/05/04","4","51.4","63.6","76.0","49.5","61.9","69.3","65.5","67.2","NA","-1454.1","0.00","21.20","0.20","0.29"
"2023/05/05","5","48.8","52.5","60.3","47.1","82.3","65.3","64.3","65.4","NA","-1498.3","0.01","13.19","0.10","0.14"
"2023/05/06","6","47.2","54.9","66.0","43.3","68.4","64.0","61.7","63.3","NA","-1550.3","0.00","16.39","0.15","0.20"
"2023/05/07","7","41.0","54.3","66.6","40.1","60.7","65.1","61.3","63.6","NA","-1555.8","0.00","26.05","0.18","0.24"
"2023/05/08","8","40.2","54.3","66.8","40.1","62.5","65.6","62.4","64.4","NA","-1546.0","0.00","19.96","0.15","0.19"
"2023/05/09","9","40.9","53.7","66.8","42.3","68.9","65.6","61.9","64.2","NA","-1553.6","0.00","23.17","0.15","0.19"
"2023/05/10","10","43.5","58.4","72.1","41.8","58.9","67.4","62.6","65.3","NA","-1539.6","0.00","27.25","0.19","0.24"
"2023/05/11","11","43.9","61.5","75.7","39.7","50.5","69.3","64.2","67.0","NA","-1506.4","0.00","27.85","0.21","0.27"
"2023/05/12","12","45.1","65.9","82.3","40.4","43.0","71.2","65.7","68.5","NA","-1481.6","0.00","27.68","0.25","0.35"
"2023/05/13","13","49.2","70.1","85.7","43.5","42.7","73.4","67.6","70.4","NA","-1456.6","0.00","28.26","0.31","0.45"
"2023/05/14","14","62.6","74.9","87.8","44.7","35.7","75.5","69.8","72.3","NA","-1434.3","0.00","27.64","0.37","0.56"
"2023/05/15","15","59.8","73.4","86.9","50.7","47.5","77.4","71.8","74.0","NA","-1419.2","0.00","24.13","0.26","0.35"
"2023/05/16","16","58.0","65.1","72.0","57.0","76.0","73.5","72.3","73.3","NA","-1435.9","0.00","12.07","0.12","0.15"
"2023/05/17","17","53.4","67.8","80.7","56.2","69.9","73.6","69.3","71.6","NA","-1458.2","0.00","24.10","0.18","0.22"
"2023/05/18","18","56.5","72.9","87.7","57.4","60.9","77.3","71.1","73.7","NA","-1429.4","0.00","25.86","0.23","0.30"
"2023/05/19","19","58.5","75.4","90.5","55.5","54.1","79.9","73.4","76.0","NA","-1396.7","0.00","26.45","0.25","0.32"
"2023/05/20","20","60.5","77.1","92.0","56.0","51.2","82.0","75.4","78.0","NA","-1364.1","0.00","27.00","0.26","0.33"
"2023/05/21","21","51.9","68.7","80.2","53.5","59.0","79.0","77.0","78.1","NA","-1359.3","0.00","17.66","0.20","0.27"
"2023/05/22","22","45.1","57.5","68.8","41.4","57.7","74.8","72.1","74.3","NA","-1437.6","0.00","26.66","0.20","0.28"
"2023/05/23","23","43.4","57.1","70.6","40.3","58.0","74.8","70.7","73.4","NA","-1449.2","0.00","28.84","0.19","0.24"
"2023/05/24","24","45.6","60.6","74.3","41.6","53.8","75.9","71.2","74.0","NA","-1440.5","0.00","27.32","0.20","0.25"
"2023/05/25","25","47.2","62.6","75.8","44.4","54.5","76.7","72.1","74.6","NA","-1434.3","0.00","26.13","0.21","0.28"
"2023/05/26","26","49.1","64.9","77.8","48.9","59.1","77.4","72.9","75.1","NA","-1425.6","0.00","24.77","0.20","0.26"
"2023/05/27","27","50.0","65.4","80.8","51.3","63.4","78.6","73.6","76.1","NA","-1402.6","0.05","24.71","0.21","0.27"
"2023/05/28","28","52.4","67.3","81.3","51.2","60.8","78.5","73.9","76.5","NA","-1386.6","0.00","28.83","0.22","0.27"
"2023/05/29","29","51.9","68.1","82.3","47.1","50.2","79.5","74.3","77.1","NA","-1374.8","0.00","29.41","0.25","0.32"
"2023/05/30","30","48.7","65.8","80.4","42.0","45.9","80.5","75.2","78.0","NA","-1357.8","0.00","30.12","0.25","0.33"
"2023/05/31","31","43.9","59.2","73.9","40.0","51.5","79.7","75.0","77.8","NA","-1363.4","0.00","30.19","0.23","0.31"
