"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2023/07/01","1","54.2","75.8","92.6","45.3","39.9","89.6","82.8","85.1","NA","-1725.6","0.00","31.16","0.30","0.40"
"2023/07/02","2","52.9","72.6","87.6","41.2","37.1","89.0","82.8","85.1","NA","Too Dry/NA","0.00","30.93","0.27","0.35"
"2023/07/03","3","52.9","72.8","89.6","36.7","31.7","87.9","82.2","84.6","NA","Too Dry/NA","0.00","30.74","0.29","0.39"
"2023/07/04","4","56.6","73.8","90.2","42.7","36.3","87.9","81.9","84.2","NA","Too Dry/NA","0.00","28.91","0.26","0.34"
"2023/07/05","5","53.6","76.1","94.4","43.7","36.4","88.9","82.0","84.6","NA","Too Dry/NA","0.00","28.20","0.27","0.36"
"2023/07/06","6","57.3","78.8","96.2","45.6","35.2","90.4","83.0","85.3","NA","Too Dry/NA","0.00","29.44","0.29","0.38"
"2023/07/07","7","60.8","80.1","96.7","48.8","36.7","91.0","84.0","86.2","NA","Too Dry/NA","0.00","27.59","0.28","0.37"
"2023/07/08","8","60.5","80.4","97.8","53.0","42.6","92.0","84.4","86.6","NA","Too Dry/NA","0.00","28.95","0.28","0.35"
"2023/07/09","9","62.4","81.1","96.6","54.7","42.5","92.5","85.5","87.4","NA","Too Dry/NA","0.00","25.02","0.27","0.36"
"2023/07/10","10","61.3","75.4","87.3","56.9","55.4","90.8","85.5","87.1","NA","Too Dry/NA","0.16","27.09","0.25","0.33"
"2023/07/11","11","52.4","71.6","88.6","48.1","49.9","86.8","82.4","85.0","NA","Too Dry/NA","0.00","30.31","0.25","0.32"
"2023/07/12","12","57.4","74.6","90.1","51.3","48.8","87.5","82.6","84.8","NA","Too Dry/NA","0.00","27.20","0.26","0.33"
"2023/07/13","13","55.9","74.6","89.4","48.9","45.7","88.7","82.8","85.2","NA","Too Dry/NA","0.00","30.07","0.27","0.35"
"2023/07/14","14","57.0","76.7","93.6","50.1","44.1","90.2","83.5","86.0","NA","Too Dry/NA","0.00","29.81","0.28","0.37"
"2023/07/15","15","58.4","80.0","98.6","48.2","39.3","92.0","84.6","87.0","NA","Too Dry/NA","0.00","29.82","0.30","0.40"
"2023/07/16","16","59.8","81.0","99.6","49.0","37.8","93.2","85.6","88.0","NA","Too Dry/NA","0.00","29.72","0.32","0.43"
"2023/07/17","17","59.4","72.3","83.1","48.5","46.4","91.1","85.8","88.0","NA","Too Dry/NA","0.00","29.76","0.28","0.38"
