"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedmph","2m MaxGustmph","2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin","Avg2m Atm.PressinHg"
"2023/04/01","1","41.3","49.1","57.2","29.5","49.4","0.01","SW","13.1","28.9","NA","51.0","52.0","0.01","18.42","0.16","0.24","29.88"
"2023/04/02","2","36.4","45.1","54.6","28.9","54.9","0.01","SW","7.3","21.8","NA","50.8","51.9","0.00","13.66","0.11","0.16","29.90"
"2023/04/03","3","33.6","41.0","50.1","35.4","81.8","0.34","SW","6.2","18.2","NA","48.7","50.5","0.13","13.41","0.07","0.09","29.95"
"2023/04/04","4","30.7","44.2","54.5","27.0","55.0","0.05","SW","3.8","16.0","NA","48.2","50.0","0.00","21.82","0.10","0.13","30.08"
"2023/04/05","5","33.7","46.2","57.8","28.2","52.7","0.00","S","5.8","16.7","NA","49.6","51.3","0.00","21.00","0.12","0.17","30.16"
"2023/04/06","6","34.2","50.2","64.8","35.7","61.0","0.01","NW","3.6","11.0","NA","51.1","52.8","0.00","14.12","0.10","0.14","29.98"
"2023/04/07","7","48.1","54.8","64.0","44.1","68.9","0.19","S","7.2","22.1","NA","53.6","54.3","0.01","10.04","0.11","0.15","29.85"
"2023/04/08","8","44.1","53.2","62.7","33.3","49.2","0.00","S","5.5","21.4","NA","53.2","54.3","0.00","11.69","0.12","0.18","30.03"
"2023/04/09","9","42.4","54.4","68.9","43.3","70.4","0.28","S","3.7","20.7","NA","53.5","54.8","0.04","10.78","0.10","0.13","30.11"
"2023/04/10","10","49.3","55.2","58.9","51.8","89.2","0.35","NW","4.6","15.7","NA","55.1","55.6","0.10","7.73","0.05","0.06","29.96"
"2023/04/11","11","40.0","50.7","59.0","33.1","55.8","0.16","SW","8.8","29.6","NA","54.0","55.0","0.06","19.08","0.14","0.20","29.98"
"2023/04/12","12","31.9","44.0","54.9","28.5","59.2","0.00","W","4.4","13.9","NA","52.0","53.6","0.00","18.87","0.10","0.14","29.99"
"2023/04/13","13","32.4","48.0","58.0","26.2","45.1","0.00","SW","4.3","23.5","NA","52.5","54.3","0.00","20.99","0.12","0.16","29.96"
"2023/04/14","14","36.2","49.0","61.0","29.3","52.2","0.00","NE","3.2","13.2","NA","53.9","55.8","0.00","22.50","0.13","0.16","30.01"
"2023/04/15","15","32.1","50.9","65.0","31.9","53.7","0.02","N","3.6","10.3","NA","55.3","57.1","0.00","17.35","0.12","0.16","30.09"
"2023/04/16","16","46.4","54.9","63.5","35.0","48.4","0.01","SW","6.6","26.4","NA","57.3","58.0","0.00","9.66","0.13","0.19","29.95"
"2023/04/17","17","37.8","49.2","60.5","31.9","54.1","0.13","S","4.6","20.7","NA","55.6","57.0","0.01","18.06","0.12","0.16","29.84"
"2023/04/18","18","40.9","48.6","57.6","27.2","47.2","0.05","SW","9.3","25.3","NA","55.6","57.0","0.01","21.37","0.16","0.24","29.86"
"2023/04/19","19","37.1","47.6","58.9","29.1","51.1","0.00","S","6.7","21.4","NA","54.8","56.2","0.00","17.10","0.13","0.19","30.12"
"2023/04/20","20","37.8","46.8","55.7","30.8","56.8","0.14","S","6.1","17.8","NA","54.6","55.9","0.02","14.44","0.11","0.15","30.34"
"2023/04/21","21","40.3","51.1","58.7","36.3","60.6","0.03","SW","5.0","16.7","NA","54.3","55.5","0.00","15.70","0.11","0.14","30.31"
"2023/04/22","22","42.2","55.0","66.9","39.0","59.7","0.00","NE","2.7","12.1","NA","55.4","57.0","0.00","20.63","0.13","0.16","30.16"
"2023/04/23","23","48.4","58.2","72.6","42.1","58.9","0.12","SW","6.1","22.5","NA","58.4","59.4","0.01","15.55","0.16","0.23","29.84"
"2023/04/24","24","48.7","56.6","67.3","33.9","44.7","0.01","SW","7.8","23.2","NA","59.0","60.2","0.00","17.62","0.18","0.27","30.01"
"2023/04/25","25","45.1","57.8","70.6","35.7","47.4","0.00","S","4.6","15.3","NA","59.3","61.0","0.00","24.56","0.18","0.24","30.17"
"2023/04/26","26","40.9","61.7","79.6","40.3","51.8","0.02","S","3.9","18.2","NA","60.9","62.5","0.00","21.18","0.18","0.24","30.09"
"2023/04/27","27","48.4","65.6","76.4","36.8","39.7","0.00","N","5.1","16.4","NA","63.3","64.7","0.00","24.06","0.20","0.28","30.14"
"2023/04/28","28","39.4","62.1","83.3","37.1","47.3","0.02","N","3.4","10.7","NA","64.1","65.9","0.00","25.20","0.20","0.26","30.08"
"2023/04/29","29","46.5","67.6","87.1","42.0","46.0","0.01","N","2.9","10.3","NA","66.0","67.7","0.00","24.24","0.20","0.26","29.93"
"2023/04/30","30","50.4","68.2","84.5","42.8","46.2","0.03","SW","7.1","23.5","NA","68.0","69.4","0.00","24.46","0.26","0.37","29.73"
"2023/05/01","1","53.4","61.7","73.3","39.7","45.4","0.00","SW","7.2","19.6","NA","68.6","69.8","0.00","21.18","0.21","0.30","29.71"
"2023/05/02","2","52.0","61.7","71.3","44.8","54.8","0.00","S","4.6","13.9","NA","68.2","69.3","0.00","13.97","0.14","0.19","29.72"
"2023/05/03","3","49.4","69.5","89.4","51.3","57.8","0.10","N","3.5","13.2","NA","67.4","69.0","0.00","24.02","0.21","0.27","29.69"
"2023/05/04","4","54.9","66.8","78.6","47.9","52.3","0.03","SW","8.7","29.6","NA","70.2","71.1","0.00","19.23","0.22","0.31","29.60"
"2023/05/05","5","52.3","55.0","58.1","47.5","75.9","0.08","SW","7.3","15.7","NA","67.8","69.6","0.00","6.15","0.07","0.10","29.80"
"2023/05/06","6","50.9","60.7","71.3","43.3","57.7","0.16","SW","6.6","16.0","NA","65.6","66.8","0.04","22.09","0.19","0.25","29.89"
"2023/05/07","7","47.9","59.1","65.4","40.1","50.4","0.00","SW","6.3","23.2","NA","66.5","67.6","0.00","23.21","0.17","0.22","29.96"
"2023/05/08","8","48.4","59.4","72.6","40.0","50.8","0.00","SE","4.3","21.4","NA","66.5","67.8","0.00","20.46","0.17","0.22","29.94"
"2023/05/09","9","50.4","60.6","69.9","43.6","57.0","0.01","S","5.4","17.1","NA","67.2","68.4","0.00","24.19","0.18","0.23","30.02"
"2023/05/10","10","43.1","61.3","76.1","42.5","56.5","0.17","N","2.9","11.4","NA","67.6","69.2","0.00","26.76","0.18","0.22","30.02"
