"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedmph","2m MaxGustmph","2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin","Avg2m Atm.PressinHg"
"2023/07/01","1","65.4","81.9","95.3","42.9","29.1","0.00","SW","4.9","16.0","NA","NA","NA","0.00","26.30","0.30","0.42","29.97"
"2023/07/02","2","60.7","76.9","89.0","39.4","29.6","0.00","N","4.2","13.9","NA","NA","NA","0.00","26.46","0.26","0.35","29.99"
"2023/07/03","3","55.0","74.9","90.9","39.6","33.2","0.00","N","5.2","17.1","NA","NA","NA","0.00","26.37","0.29","0.40","29.97"
"2023/07/04","4","58.6","77.0","91.9","41.4","32.2","0.00","N","3.6","13.2","NA","NA","NA","0.00","25.20","0.25","0.33","30.00"
"2023/07/05","5","55.3","76.9","96.8","46.7","40.6","0.03","N","3.1","17.5","NA","NA","NA","0.00","24.66","0.24","0.32","29.92"
"2023/07/06","6","62.3","80.9","98.7","48.2","37.1","0.01","N","3.5","10.3","NA","NA","NA","0.00","25.49","0.27","0.35","29.82"
"2023/07/07","7","61.7","81.6","99.2","49.8","36.9","0.01","N","3.6","12.4","NA","NA","NA","0.00","23.82","0.26","0.35","29.74"
"2023/07/08","8","66.0","83.5","98.9","51.2","35.9","0.01","SW","2.9","9.9","NA","NA","NA","0.00","24.95","0.25","0.32","29.75"
"2023/07/09","9","66.6","85.2","100.2","51.9","33.5","0.00","NW","4.2","12.8","NA","NA","NA","0.00","23.35","0.28","0.38","29.73"
"2023/07/10","10","66.4","79.2","90.4","52.1","42.7","0.07","SW","6.2","24.3","NA","NA","NA","0.05","23.33","0.28","0.38","29.85"
"2023/07/11","11","62.1","76.0","90.1","48.3","40.8","0.00","S","5.6","15.0","NA","NA","NA","0.00","28.29","0.29","0.39","29.96"
"2023/07/12","12","67.3","81.2","93.4","47.6","33.8","0.00","SW","5.6","14.2","NA","NA","NA","0.00","27.87","0.31","0.43","29.92"
"2023/07/13","13","64.7","80.8","92.8","48.0","34.7","0.00","SW","4.2","13.9","NA","NA","NA","0.00","28.20","0.28","0.37","29.99"
"2023/07/14","14","61.4","80.8","96.3","50.2","38.8","0.00","NE","2.9","17.1","NA","NA","NA","0.00","27.80","0.25","0.32","30.02"
"2023/07/15","15","60.5","82.4","100.9","50.4","38.9","0.01","E","2.8","11.4","NA","NA","NA","0.00","27.89","0.26","0.34","29.97"
"2023/07/16","16","62.8","84.8","101.2","47.9","33.1","0.00","E","3.3","15.3","NA","NA","NA","0.00","27.13","0.27","0.36","29.86"
"2023/07/17","17","69.9","78.4","87.7","46.4","33.6","0.00","W","7.2","19.2","NA","NA","NA","0.00","27.61","0.32","0.45","29.95"
"2023/07/18","18","56.8","73.7","86.8","45.2","39.7","0.01","N","2.7","15.0","NA","NA","NA","0.00","28.01","0.22","0.28","30.07"
"2023/07/19","19","54.2","76.8","95.8","48.3","41.9","0.06","N","3.0","10.3","NA","NA","NA","0.00","27.76","0.25","0.32","30.03"
"2023/07/20","20","61.9","82.4","99.6","52.8","41.3","0.03","N","2.7","9.6","NA","NA","NA","0.00","26.14","0.25","0.31","29.96"
"2023/07/21","21","74.1","86.9","101.4","46.7","29.2","0.00","SW","5.9","14.6","NA","NA","NA","0.00","27.07","0.35","0.50","29.93"
"2023/07/22","22","70.9","84.2","97.9","45.7","27.9","0.00","S","4.3","12.1","NA","NA","NA","0.00","27.02","0.29","0.40","29.93"
"2023/07/23","23","61.4","82.7","97.0","51.1","37.4","0.01","E","3.1","11.7","NA","NA","NA","0.00","26.84","0.25","0.32","29.85"
"2023/07/24","24","71.6","80.6","93.5","46.8","32.1","0.00","SW","8.3","30.7","NA","NA","NA","0.00","23.66","0.35","0.51","29.91"
"2023/07/25","25","66.9","77.4","88.7","47.1","37.4","0.00","W","7.6","20.7","NA","NA","NA","0.00","27.01","0.32","0.45","30.06"
"2023/07/26","26","55.2","72.2","84.3","44.9","40.3","0.00","N","3.0","12.4","NA","NA","NA","0.00","26.93","0.22","0.27","30.05"
"2023/07/27","27","53.5","74.6","91.0","43.0","38.4","0.01","E","2.9","11.7","NA","NA","NA","0.00","26.33","0.23","0.29","29.94"
"2023/07/28","28","57.7","77.3","91.7","48.4","39.8","0.01","NE","2.8","12.8","NA","NA","NA","0.00","26.11","0.23","0.29","29.95"
"2023/07/29","29","61.5","80.3","94.6","46.2","34.0","0.01","S","3.8","13.5","NA","NA","NA","0.00","25.63","0.26","0.34","29.94"
"2023/07/30","30","66.3","78.9","92.7","43.1","31.0","0.00","SW","5.6","15.3","NA","NA","NA","0.00","25.56","0.30","0.42","29.99"
"2023/07/31","31","58.9","76.3","91.1","44.6","35.8","0.00","NE","2.9","10.3","NA","NA","NA","0.00","26.27","0.23","0.29","30.01"
"2023/08/01","1","55.9","77.0","93.1","44.9","37.1","0.02","E","2.8","11.0","NA","NA","NA","0.00","26.30","0.23","0.29","29.98"
"2023/08/02","2","58.1","78.9","97.6","46.6","37.2","0.02","NE","2.8","11.7","NA","NA","NA","0.00","25.67","0.24","0.31","29.93"
"2023/08/03","3","61.7","80.7","94.5","47.2","34.0","0.00","NE","2.7","9.6","NA","NA","NA","0.00","24.57","0.22","0.29","29.96"
"2023/08/04","4","65.0","76.4","83.9","52.8","45.3","0.01","SW","4.4","17.1","NA","NA","NA","0.00","8.57","0.15","0.22","30.03"
"2023/08/05","5","69.0","75.9","86.7","57.9","55.7","0.18","N","4.0","12.8","NA","NA","NA","0.00","14.44","0.18","0.24","30.06"
"2023/08/06","6","67.7","75.1","85.3","63.0","68.7","0.24","SE","2.7","9.6","NA","85.4","85.4","0.04","13.86","0.14","0.17","30.07"
"2023/08/07","7","66.6","71.7","76.9","62.1","72.7","0.13","SE","3.1","12.1","NA","84.1","84.9","0.11","11.18","0.11","0.13","30.03"
"2023/08/08","8","60.2","76.7","91.4","54.1","55.3","0.25","S","2.4","13.9","NA","82.4","83.3","0.00","24.22","0.20","0.25","29.93"
"2023/08/09","9","61.4","77.5","92.0","52.7","46.0","0.03","SW","4.2","18.2","NA","83.3","84.1","0.00","19.34","0.22","0.29","29.80"
"2023/08/10","10","59.0","75.7","88.7","48.9","43.0","0.00","S","3.3","13.2","NA","83.9","84.6","0.00","25.01","0.22","0.28","29.87"
"2023/08/11","11","56.7","75.6","89.4","49.3","43.4","0.00","E","3.3","11.7","NA","84.6","85.0","0.00","25.00","0.22","0.28","29.93"
"2023/08/12","12","57.9","77.7","92.7","49.3","40.9","0.03","NE","2.4","10.3","NA","85.1","85.3","0.00","23.58","0.20","0.25","30.03"
"2023/08/13","13","64.9","81.1","96.7","52.6","41.2","0.05","N","4.0","12.1","NA","NA","NA","0.00","23.67","0.25","0.33","30.06"
"2023/08/14","14","62.9","82.7","101.8","55.7","45.0","0.12","N","2.3","9.9","NA","NA","NA","0.00","24.06","0.22","0.28","29.96"
"2023/08/15","15","65.8","87.3","107.6","56.3","42.7","0.19","SE","2.5","12.1","NA","NA","NA","0.00","23.79","0.24","0.31","29.90"
"2023/08/16","16","67.4","87.8","103.7","54.8","38.0","0.04","N","2.7","9.9","NA","NA","NA","0.00","23.62","0.23","0.30","29.87"
